,length_ext,target,value,VF_mean_ext,VF_std_ext
0,48,FANCF,"[-23.987800010681152, 4.538851311461105]",-23.987800010681152,4.538851311461105
1,49,FANCF,"[-24.11379999542236, 4.602141830017699]",-24.11379999542236,4.602141830017699
2,50,FANCF,"[-24.47675004196167, 4.695135994212396]",-24.47675004196167,4.695135994212396
3,51,FANCF,"[-24.55599000263214, 4.804461457553351]",-24.55599000263214,4.804461457553351
4,52,FANCF,"[-25.096140003204347, 4.811204090378637]",-25.096140003204347,4.811204090378637
5,53,FANCF,"[-25.199570004463197, 4.728315021738485]",-25.199570004463197,4.728315021738485
6,54,FANCF,"[-26.054500014305116, 5.03556942168201]",-26.054500014305116,5.03556942168201
7,55,FANCF,"[-25.84889997768402, 4.868827267848945]",-25.84889997768402,4.868827267848945
8,56,FANCF,"[-26.377639963150024, 4.945462541143912]",-26.377639963150024,4.945462541143912
9,57,FANCF,"[-26.445900042533875, 4.935561072221978]",-26.445900042533875,4.935561072221978
10,59,FANCF,"[-27.132170026779175, 4.829263311356077]",-27.132170026779175,4.829263311356077
11,60,FANCF,"[-27.380099988937378, 5.166360856469491]",-27.380099988937378,5.166360856469491
12,61,FANCF,"[-27.38287999534607, 4.969204641498024]",-27.38287999534607,4.969204641498024
13,62,FANCF,"[-28.006479994773866, 4.920587457404155]",-28.006479994773866,4.920587457404155
14,64,FANCF,"[-28.377409990310667, 5.255924875397059]",-28.377409990310667,5.255924875397059
15,65,FANCF,"[-28.93529996204376, 5.302969311024052]",-28.93529996204376,5.302969311024052
16,66,FANCF,"[-29.27100000190735, 5.382439852138002]",-29.27100000190735,5.382439852138002
17,67,FANCF,"[-29.685699995994568, 5.239895561077841]",-29.685699995994568,5.239895561077841
18,68,FANCF,"[-29.756460041046143, 5.296586723279748]",-29.756460041046143,5.296586723279748
19,69,FANCF,"[-30.350369980812072, 5.4103023460297806]",-30.350369980812072,5.4103023460297806
20,71,FANCF,"[-30.52979999637604, 5.3733054967992695]",-30.52979999637604,5.3733054967992695
21,72,FANCF,"[-30.549939982414244, 5.3961506609666285]",-30.549939982414244,5.3961506609666285
22,73,FANCF,"[-31.121979973793028, 5.315598670490929]",-31.121979973793028,5.315598670490929
23,74,FANCF,"[-31.475109972000123, 5.499122512110451]",-31.475109972000123,5.499122512110451
24,75,FANCF,"[-31.938599937438966, 5.433324028668236]",-31.938599937438966,5.433324028668236
25,77,FANCF,"[-32.29216998100281, 5.579566073900572]",-32.29216998100281,5.579566073900572
26,79,FANCF,"[-33.10688999080658, 5.785264590462881]",-33.10688999080658,5.785264590462881
27,80,FANCF,"[-33.38534994697571, 5.639286878191384]",-33.38534994697571,5.639286878191384
28,81,FANCF,"[-33.42461000728607, 5.850293498195518]",-33.42461000728607,5.850293498195518
29,83,FANCF,"[-34.407980011940005, 5.785687651276369]",-34.407980011940005,5.785687651276369
30,86,FANCF,"[-34.94442996025086, 5.905690188350519]",-34.94442996025086,5.905690188350519
31,89,FANCF,"[-36.03171999359131, 5.962614572434173]",-36.03171999359131,5.962614572434173
32,92,FANCF,"[-36.87811999511719, 5.95765295828877]",-36.87811999511719,5.95765295828877
33,93,FANCF,"[-37.221010021209715, 5.941551310961683]",-37.221010021209715,5.941551310961683
34,94,FANCF,"[-37.35913996315002, 6.061317505177656]",-37.35913996315002,6.061317505177656
35,95,FANCF,"[-37.73555997276306, 6.303711043716384]",-37.73555997276306,6.303711043716384
36,96,FANCF,"[-38.61388000106812, 5.980888482496301]",-38.61388000106812,5.980888482496301
37,97,FANCF,"[-38.33077002906799, 6.012254150078849]",-38.33077002906799,6.012254150078849
38,98,FANCF,"[-38.6094899597168, 6.241611476497984]",-38.6094899597168,6.241611476497984
39,99,FANCF,"[-39.525499977111814, 6.4211167008145305]",-39.525499977111814,6.4211167008145305
40,101,FANCF,"[-39.53823999023437, 6.12490845893421]",-39.53823999023437,6.12490845893421
41,104,FANCF,"[-40.43548999786377, 6.26610033578157]",-40.43548999786377,6.26610033578157
42,107,FANCF,"[-41.530700016021726, 6.417563974060541]",-41.530700016021726,6.417563974060541
43,108,FANCF,"[-41.81360000038147, 6.229367151617179]",-41.81360000038147,6.229367151617179
44,110,FANCF,"[-42.511939931869506, 6.587513439918786]",-42.511939931869506,6.587513439918786
45,113,FANCF,"[-43.136510021209716, 6.191780246856499]",-43.136510021209716,6.191780246856499
46,116,FANCF,"[-44.7393000164032, 6.708415975494343]",-44.7393000164032,6.708415975494343
47,117,FANCF,"[-44.190060050964355, 6.9541197425720185]",-44.190060050964355,6.9541197425720185
48,48,HEK3,"[-27.278400001525878, 4.217289829660463]",-27.278400001525878,4.217289829660463
49,49,HEK3,"[-27.331010003089904, 4.232071439756783]",-27.331010003089904,4.232071439756783
50,50,HEK3,"[-27.688499990463256, 4.260858822158858]",-27.688499990463256,4.260858822158858
51,51,HEK3,"[-27.75299997138977, 4.160941118303266]",-27.75299997138977,4.160941118303266
52,52,HEK3,"[-28.115300004005434, 4.164602732946739]",-28.115300004005434,4.164602732946739
53,53,HEK3,"[-28.249799982070922, 4.19322788469835]",-28.249799982070922,4.19322788469835
54,54,HEK3,"[-29.089100006103514, 4.566744021724311]",-29.089100006103514,4.566744021724311
55,55,HEK3,"[-28.94319997215271, 4.486777633166265]",-28.94319997215271,4.486777633166265
56,56,HEK3,"[-29.450109994888304, 4.426162555703675]",-29.450109994888304,4.426162555703675
57,57,HEK3,"[-29.69101002407074, 4.421067002543895]",-29.69101002407074,4.421067002543895
58,59,HEK3,"[-30.05500001335144, 4.496540340571858]",-30.05500001335144,4.496540340571858
59,60,HEK3,"[-30.281299982070923, 4.351041291637791]",-30.281299982070923,4.351041291637791
60,61,HEK3,"[-30.63714999771118, 4.67650616237826]",-30.63714999771118,4.67650616237826
61,62,HEK3,"[-30.997900009155273, 4.570357304040205]",-30.997900009155273,4.570357304040205
62,64,HEK3,"[-31.487169988632203, 4.69973065409267]",-31.487169988632203,4.69973065409267
63,65,HEK3,"[-32.04544004440308, 4.705769594303267]",-32.04544004440308,4.705769594303267
64,66,HEK3,"[-32.54680996894837, 4.756825093020184]",-32.54680996894837,4.756825093020184
65,67,HEK3,"[-32.74720000648499, 4.688333630516133]",-32.74720000648499,4.688333630516133
66,68,HEK3,"[-32.988239988327024, 4.896025259295524]",-32.988239988327024,4.896025259295524
67,69,HEK3,"[-33.3456699886322, 4.786670781090595]",-33.3456699886322,4.786670781090595
68,71,HEK3,"[-33.617569988250736, 4.760422264328079]",-33.617569988250736,4.760422264328079
69,72,HEK3,"[-33.757239957809446, 4.989349969179038]",-33.757239957809446,4.989349969179038
70,73,HEK3,"[-34.00572001075744, 4.820469484473848]",-34.00572001075744,4.820469484473848
71,74,HEK3,"[-34.65256992530823, 5.049418627595696]",-34.65256992530823,5.049418627595696
72,75,HEK3,"[-34.89728000068664, 4.97474697630131]",-34.89728000068664,4.97474697630131
73,77,HEK3,"[-35.30007000160217, 5.089755737323216]",-35.30007000160217,5.089755737323216
74,79,HEK3,"[-36.175969959259035, 5.194516092660876]",-36.175969959259035,5.194516092660876
75,80,HEK3,"[-36.407970010757445, 5.195287984371828]",-36.407970010757445,5.195287984371828
76,81,HEK3,"[-36.571800003051756, 5.361500242139473]",-36.571800003051756,5.361500242139473
77,83,HEK3,"[-37.42446998977661, 5.360208990949614]",-37.42446998977661,5.360208990949614
78,86,HEK3,"[-38.212839975357056, 5.42682902988755]",-38.212839975357056,5.42682902988755
79,89,HEK3,"[-39.075899965286254, 5.555902195265656]",-39.075899965286254,5.555902195265656
80,92,HEK3,"[-40.02780006408691, 5.62764498579609]",-40.02780006408691,5.62764498579609
81,93,HEK3,"[-40.19262000656128, 5.468296065911001]",-40.19262000656128,5.468296065911001
82,94,HEK3,"[-40.23638001823425, 5.389620828694636]",-40.23638001823425,5.389620828694636
83,95,HEK3,"[-40.66000997543335, 5.769110758242153]",-40.66000997543335,5.769110758242153
84,96,HEK3,"[-41.46627997589111, 5.52703772292668]",-41.46627997589111,5.52703772292668
85,97,HEK3,"[-41.245, 5.444780521561879]",-41.245,5.444780521561879
86,98,HEK3,"[-41.52028998374939, 5.6330064306817595]",-41.52028998374939,5.6330064306817595
87,99,HEK3,"[-42.29843999862671, 5.668495352432033]",-42.29843999862671,5.668495352432033
88,101,HEK3,"[-42.475169975280764, 5.988749479695635]",-42.475169975280764,5.988749479695635
89,104,HEK3,"[-43.52618000793457, 5.855075595509234]",-43.52618000793457,5.855075595509234
90,107,HEK3,"[-44.407599983215334, 5.8622643195272675]",-44.407599983215334,5.8622643195272675
91,108,HEK3,"[-44.72507004928589, 5.797615706880534]",-44.72507004928589,5.797615706880534
92,110,HEK3,"[-45.41288003921509, 6.002300323952954]",-45.41288003921509,6.002300323952954
93,113,HEK3,"[-46.157210033416746, 5.914757427460112]",-46.157210033416746,5.914757427460112
94,116,HEK3,"[-47.57553997612, 6.217133854703774]",-47.57553997612,6.217133854703774
95,117,HEK3,"[-47.274260007858274, 6.187858089627378]",-47.274260007858274,6.187858089627378
96,48,CLYBL,"[-27.58489997768402, 4.2533565279264405]",-27.58489997768402,4.2533565279264405
97,49,CLYBL,"[-27.627400003433227, 4.308949880631781]",-27.627400003433227,4.308949880631781
98,50,CLYBL,"[-27.890399984359743, 4.161173827744262]",-27.890399984359743,4.161173827744262
99,51,CLYBL,"[-28.040589948654176, 4.308946318505277]",-28.040589948654176,4.308946318505277
100,52,CLYBL,"[-28.613409999847413, 4.406831149057698]",-28.613409999847413,4.406831149057698
101,53,CLYBL,"[-28.652120012283326, 4.3126991858008905]",-28.652120012283326,4.3126991858008905
102,54,CLYBL,"[-29.363699947357176, 4.596432548298961]",-29.363699947357176,4.596432548298961
103,55,CLYBL,"[-29.257399980545046, 4.369506269257377]",-29.257399980545046,4.369506269257377
104,56,CLYBL,"[-29.644469997406006, 4.4582980448016185]",-29.644469997406006,4.4582980448016185
105,57,CLYBL,"[-29.949919996261595, 4.597999722842353]",-29.949919996261595,4.597999722842353
106,59,CLYBL,"[-30.55767000579834, 4.535144018176541]",-30.55767000579834,4.535144018176541
107,60,CLYBL,"[-30.862069986343382, 4.832326365879188]",-30.862069986343382,4.832326365879188
108,61,CLYBL,"[-31.029909990310667, 4.810130549475094]",-31.029909990310667,4.810130549475094
109,62,CLYBL,"[-31.467519954681396, 4.630609380699541]",-31.467519954681396,4.630609380699541
110,64,CLYBL,"[-32.02957995605469, 4.913262635920871]",-32.02957995605469,4.913262635920871
111,65,CLYBL,"[-32.26939996719361, 4.90785733475507]",-32.26939996719361,4.90785733475507
112,66,CLYBL,"[-32.79139997863769, 4.855335827863385]",-32.79139997863769,4.855335827863385
113,67,CLYBL,"[-33.21510000610352, 4.901675428189884]",-33.21510000610352,4.901675428189884
114,68,CLYBL,"[-33.298239988327026, 4.726874907117203]",-33.298239988327026,4.726874907117203
115,69,CLYBL,"[-33.693469974517825, 4.947461004178619]",-33.693469974517825,4.947461004178619
116,71,CLYBL,"[-33.99391995239258, 4.938464272800738]",-33.99391995239258,4.938464272800738
117,72,CLYBL,"[-34.132709941864015, 4.9362806080770385]",-34.132709941864015,4.9362806080770385
118,73,CLYBL,"[-34.477599983215335, 5.015344365433765]",-34.477599983215335,5.015344365433765
119,74,CLYBL,"[-34.9931999874115, 5.214567485980478]",-34.9931999874115,5.214567485980478
120,75,CLYBL,"[-35.37857996559143, 5.219916270495327]",-35.37857996559143,5.219916270495327
121,77,CLYBL,"[-35.7996699962616, 5.334103162925929]",-35.7996699962616,5.334103162925929
122,79,CLYBL,"[-36.53699994277954, 5.240251055073809]",-36.53699994277954,5.240251055073809
123,80,CLYBL,"[-36.800450052261354, 5.340470686028798]",-36.800450052261354,5.340470686028798
124,81,CLYBL,"[-36.8154999961853, 5.387172676340957]",-36.8154999961853,5.387172676340957
125,83,CLYBL,"[-37.93936997795105, 5.44172812738672]",-37.93936997795105,5.44172812738672
126,86,CLYBL,"[-38.51911002159119, 5.437559825581673]",-38.51911002159119,5.437559825581673
127,89,CLYBL,"[-39.37878998374939, 5.610060262364458]",-39.37878998374939,5.610060262364458
128,92,CLYBL,"[-40.432000024795535, 5.709638862957089]",-40.432000024795535,5.709638862957089
129,93,CLYBL,"[-40.58780000686645, 5.642493401726362]",-40.58780000686645,5.642493401726362
130,94,CLYBL,"[-40.586540014266966, 5.511956282235586]",-40.586540014266966,5.511956282235586
131,95,CLYBL,"[-41.03867003631592, 5.780580170563554]",-41.03867003631592,5.780580170563554
132,96,CLYBL,"[-41.87109997177124, 5.623142781059761]",-41.87109997177124,5.623142781059761
133,97,CLYBL,"[-41.84167999839783, 5.704709714385401]",-41.84167999839783,5.704709714385401
134,98,CLYBL,"[-41.951660032272336, 5.908015841019701]",-41.951660032272336,5.908015841019701
135,99,CLYBL,"[-42.774140012741086, 5.814317146687719]",-42.774140012741086,5.814317146687719
136,101,CLYBL,"[-42.88830003547668, 5.670748836492749]",-42.88830003547668,5.670748836492749
137,104,CLYBL,"[-43.75099997711182, 5.989914761526928]",-43.75099997711182,5.989914761526928
138,107,CLYBL,"[-44.825210010528565, 6.115744454079851]",-44.825210010528565,6.115744454079851
139,108,CLYBL,"[-45.04090002632141, 5.908679758554201]",-45.04090002632141,5.908679758554201
140,110,CLYBL,"[-45.783150007247926, 6.110102983285654]",-45.783150007247926,6.110102983285654
141,113,CLYBL,"[-46.43472003364563, 6.038286407534731]",-46.43472003364563,6.038286407534731
142,116,CLYBL,"[-48.00509991836548, 6.174395812741024]",-48.00509991836548,6.174395812741024
143,117,CLYBL,"[-47.71097995376587, 6.487190826353174]",-47.71097995376587,6.487190826353174
144,48,EMX1,"[-21.791569989204408, 4.249243461375212]",-21.791569989204408,4.249243461375212
145,49,EMX1,"[-21.905299991607666, 4.369769094507151]",-21.905299991607666,4.369769094507151
146,50,EMX1,"[-22.373669972419737, 4.359290719024395]",-22.373669972419737,4.359290719024395
147,51,EMX1,"[-22.37040001010895, 4.492770144386346]",-22.37040001010895,4.492770144386346
148,52,EMX1,"[-22.759969984054564, 4.210292903267845]",-22.759969984054564,4.210292903267845
149,53,EMX1,"[-23.115800010681152, 4.476881784250351]",-23.115800010681152,4.476881784250351
150,54,EMX1,"[-23.831400012969972, 4.758265854339783]",-23.831400012969972,4.758265854339783
151,55,EMX1,"[-23.750940019607544, 4.5969025401470915]",-23.750940019607544,4.5969025401470915
152,56,EMX1,"[-24.043150023460388, 4.681818038101996]",-24.043150023460388,4.681818038101996
153,57,EMX1,"[-24.415700015068055, 4.707728079300908]",-24.415700015068055,4.707728079300908
154,59,EMX1,"[-24.917469977378847, 4.770622979757072]",-24.917469977378847,4.770622979757072
155,60,EMX1,"[-25.212700033187865, 4.702957458360202]",-25.212700033187865,4.702957458360202
156,61,EMX1,"[-25.333080010414122, 4.6205871104277385]",-25.333080010414122,4.6205871104277385
157,62,EMX1,"[-25.751889983177186, 4.822562552217757]",-25.751889983177186,4.822562552217757
158,64,EMX1,"[-26.249300017356873, 4.892872351853814]",-26.249300017356873,4.892872351853814
159,65,EMX1,"[-26.61049998283386, 4.952322637733118]",-26.61049998283386,4.952322637733118
160,66,EMX1,"[-27.247099976539612, 5.090729944672439]",-27.247099976539612,5.090729944672439
161,67,EMX1,"[-27.4388700170517, 4.80820132250042]",-27.4388700170517,4.80820132250042
162,68,EMX1,"[-27.80027996826172, 5.099337313605399]",-27.80027996826172,5.099337313605399
163,69,EMX1,"[-28.234400005340575, 5.197547145268203]",-28.234400005340575,5.197547145268203
164,71,EMX1,"[-28.387099977493286, 5.094185241334361]",-28.387099977493286,5.094185241334361
165,72,EMX1,"[-28.531169984817506, 5.15496224849169]",-28.531169984817506,5.15496224849169
166,73,EMX1,"[-28.89043996810913, 5.164917236690906]",-28.89043996810913,5.164917236690906
167,74,EMX1,"[-29.46898999118805, 5.342983627754754]",-29.46898999118805,5.342983627754754
168,75,EMX1,"[-29.900299966812135, 5.2095748207556145]",-29.900299966812135,5.2095748207556145
169,77,EMX1,"[-30.265099970817566, 5.3302075242023506]",-30.265099970817566,5.3302075242023506
170,79,EMX1,"[-30.869420013427735, 5.424676314963085]",-30.869420013427735,5.424676314963085
171,80,EMX1,"[-31.252670013427736, 5.536036927474697]",-31.252670013427736,5.536036927474697
172,81,EMX1,"[-31.452670028686523, 5.579008572065367]",-31.452670028686523,5.579008572065367
173,83,EMX1,"[-32.28090996170044, 5.555015021868501]",-32.28090996170044,5.555015021868501
174,86,EMX1,"[-33.009899948120115, 5.600529607496539]",-33.009899948120115,5.600529607496539
175,89,EMX1,"[-33.94382001686096, 5.823539517824703]",-33.94382001686096,5.823539517824703
176,92,EMX1,"[-34.77772002410889, 5.866205386272005]",-34.77772002410889,5.866205386272005
177,93,EMX1,"[-35.2144199886322, 5.8516727136971225]",-35.2144199886322,5.8516727136971225
178,94,EMX1,"[-35.24440000534057, 5.604766576372824]",-35.24440000534057,5.604766576372824
179,95,EMX1,"[-35.66912005424499, 6.058671257135818]",-35.66912005424499,6.058671257135818
180,96,EMX1,"[-36.472040004730225, 5.883282061489046]",-36.472040004730225,5.883282061489046
181,97,EMX1,"[-36.203010017395016, 5.905646542704394]",-36.203010017395016,5.905646542704394
182,98,EMX1,"[-36.505399934768676, 6.037193975841419]",-36.505399934768676,6.037193975841419
183,99,EMX1,"[-37.24470007705688, 5.943405754249489]",-37.24470007705688,5.943405754249489
184,101,EMX1,"[-37.3206999835968, 5.957477786457982]",-37.3206999835968,5.957477786457982
185,104,EMX1,"[-38.55400001716614, 6.074112647620809]",-38.55400001716614,6.074112647620809
186,107,EMX1,"[-39.347390003204346, 6.146600701471962]",-39.347390003204346,6.146600701471962
187,108,EMX1,"[-39.76193994140625, 5.901972833544504]",-39.76193994140625,5.901972833544504
188,110,EMX1,"[-40.323109924316405, 6.252394809577411]",-40.323109924316405,6.252394809577411
189,113,EMX1,"[-40.996799989700314, 6.173633446463388]",-40.996799989700314,6.173633446463388
190,116,EMX1,"[-42.49467999458313, 6.356131242987791]",-42.49467999458313,6.356131242987791
191,117,EMX1,"[-42.14970002937317, 6.546527319934235]",-42.14970002937317,6.546527319934235
192,48,ACTB,"[-21.74671999549866, 4.58775773684657]",-21.74671999549866,4.58775773684657
193,49,ACTB,"[-21.71550003051758, 4.595866565240638]",-21.71550003051758,4.595866565240638
194,50,ACTB,"[-22.159100008010864, 4.599762733911335]",-22.159100008010864,4.599762733911335
195,51,ACTB,"[-22.139599992752075, 4.706709229541592]",-22.139599992752075,4.706709229541592
196,52,ACTB,"[-22.70894001674652, 4.771060680093948]",-22.70894001674652,4.771060680093948
197,53,ACTB,"[-22.846229988098145, 4.654225205952979]",-22.846229988098145,4.654225205952979
198,54,ACTB,"[-23.656499979019166, 4.933756994252658]",-23.656499979019166,4.933756994252658
199,55,ACTB,"[-23.546369987487793, 4.827681513727535]",-23.546369987487793,4.827681513727535
200,56,ACTB,"[-23.91830000591278, 4.985833183218149]",-23.91830000591278,4.985833183218149
201,57,ACTB,"[-24.179759990692137, 4.981293628860775]",-24.179759990692137,4.981293628860775
202,59,ACTB,"[-24.581799971580505, 4.988120153795207]",-24.581799971580505,4.988120153795207
203,60,ACTB,"[-25.037299931526185, 4.996064282182954]",-25.037299931526185,4.996064282182954
204,61,ACTB,"[-25.003650004386902, 5.093191191789176]",-25.003650004386902,5.093191191789176
205,62,ACTB,"[-25.606519994735716, 5.0011438561436385]",-25.606519994735716,5.0011438561436385
206,64,ACTB,"[-26.041189985275267, 5.3322833567192784]",-26.041189985275267,5.3322833567192784
207,65,ACTB,"[-26.5003699760437, 5.1732521556403235]",-26.5003699760437,5.1732521556403235
208,66,ACTB,"[-27.098149992942812, 5.309486759120145]",-27.098149992942812,5.309486759120145
209,67,ACTB,"[-27.28479995727539, 5.21412204165525]",-27.28479995727539,5.21412204165525
210,68,ACTB,"[-27.36406000137329, 5.157077164831394]",-27.36406000137329,5.157077164831394
211,69,ACTB,"[-27.762519983291625, 5.40829742399497]",-27.762519983291625,5.40829742399497
212,71,ACTB,"[-28.085069993972777, 5.349538755102472]",-28.085069993972777,5.349538755102472
213,72,ACTB,"[-28.06546997833252, 5.4532566764475705]",-28.06546997833252,5.4532566764475705
214,73,ACTB,"[-28.702699977874754, 5.38887583854339]",-28.702699977874754,5.38887583854339
215,74,ACTB,"[-29.019510003089906, 5.5896819068545565]",-29.019510003089906,5.5896819068545565
