feature,feature_id,score
Length,0,0.5599830637947797
Length,1,0.5695856358637698
Length,2,0.5361707857344922
Length,3,0.5137420001826096
Length,4,0.46323839402021033
Length,5,0.4884710299029035
Length,6,0.5589187277345447
Length,7,0.5571461879506305
Length,8,0.5457778320343177
Length,9,0.5304453686197741
Secondary structure,0,0.6487956034974939
Secondary structure,1,0.6811741886867959
Secondary structure,2,0.5951096296245121
Secondary structure,3,0.5169174793485478
Secondary structure,4,0.581372351677454
Secondary structure,5,0.5566698287680732
Secondary structure,6,0.5692301691207494
Secondary structure,7,0.6440953158613396
Secondary structure,8,0.5991410428386749
Secondary structure,9,0.6105252725460635
MMR,0,0.6156162080235261
MMR,1,0.6289478036372437
MMR,2,0.5871826319733402
MMR,3,0.4917452424971703
MMR,4,0.5359695143358187
MMR,5,0.5042624153542675
MMR,6,0.5606082127290092
MMR,7,0.615931509849803
MMR,8,0.5593937779430828
MMR,9,0.5681001770926362
%N,0,0.6610969187355129
%N,1,0.6834344403015222
%N,2,0.6318250496918997
%N,3,0.5737725768164684
%N,4,0.5845133051497607
%N,5,0.5526397709742908
%N,6,0.599456837792773
%N,7,0.6525463073343296
%N,8,0.6191890898635725
%N,9,0.6211493398249267
Paired bases,0,0.6614986723061751
Paired bases,1,0.6900554518358597
Paired bases,2,0.6418785410900557
Paired bases,3,0.5914313764303012
Paired bases,4,0.5851726925063566
Paired bases,5,0.5552534798046772
Paired bases,6,0.6621100269774978
Paired bases,7,0.6233987623435928
Paired bases,8,0.6450036278728281
Paired bases,9,0.6339376193672194
oligo(A),0,0.6707482465146377
oligo(A),1,0.6990563622219083
oligo(A),2,0.6459512795409917
oligo(A),3,0.4396299191811177
oligo(A),4,0.5999683933521817
oligo(A),5,0.5554575440797932
oligo(A),6,0.6678298067188019
oligo(A),7,0.6685434900267277
oligo(A),8,0.622986288621213
oligo(A),9,0.6337745778734485
Loops intact,0,0.6778767628249992
Loops intact,1,0.7066048340539536
Loops intact,2,0.6450646678631784
Loops intact,3,0.5050190932766475
Loops intact,4,0.6050519229446254
Loops intact,5,0.5657216897531889
Loops intact,6,0.6610057083350797
Loops intact,7,0.6657471504629782
Loops intact,8,0.6315356937036444
Loops intact,9,0.6400674062890248
