trainset,testset,value
HEK3 HEK293T,HEK3 HEK293T,0.9953717234695282
HEK3 HEK293T,HEK3 HAP1dMLH1,0.9580568068287656
HEK3 HEK293T,HEK3 HAP1,0.539220830513934
HEK3 HEK293T,FANCF HEK293T,0.48612556895026837
HEK3 HEK293T,FANCF HAP1dMLH1,0.7651109326212363
HEK3 HEK293T,FANCF HAP1,0.021217384004586816
HEK3 HEK293T,EMX1 HEK293T,0.47730813717088705
HEK3 HEK293T,CLYBL HEK293T,0.5078779079360095
HEK3 HAP1dMLH1,HEK3 HEK293T,0.9580568068287654
HEK3 HAP1dMLH1,HEK3 HAP1dMLH1,1.0
HEK3 HAP1dMLH1,HEK3 HAP1,0.5018390293107471
HEK3 HAP1dMLH1,FANCF HEK293T,0.4890520601857118
HEK3 HAP1dMLH1,FANCF HAP1dMLH1,0.7844075013764121
HEK3 HAP1dMLH1,FANCF HAP1,0.015321146953260256
HEK3 HAP1dMLH1,EMX1 HEK293T,0.4579924296996011
HEK3 HAP1dMLH1,CLYBL HEK293T,0.507538811548373
HEK3 HAP1,HEK3 HEK293T,0.5392208305139338
HEK3 HAP1,HEK3 HAP1dMLH1,0.5018390293107471
HEK3 HAP1,HEK3 HAP1,0.9999999999999998
HEK3 HAP1,FANCF HEK293T,0.2563227187412972
HEK3 HAP1,FANCF HAP1dMLH1,0.33594432945857144
HEK3 HAP1,FANCF HAP1,0.4110646093502833
HEK3 HAP1,EMX1 HEK293T,0.31007258227741735
HEK3 HAP1,CLYBL HEK293T,0.21934372234608684
FANCF HEK293T,HEK3 HEK293T,0.48612556895026837
FANCF HEK293T,HEK3 HAP1dMLH1,0.4890520601857118
FANCF HEK293T,HEK3 HAP1,0.25632271874129714
FANCF HEK293T,FANCF HEK293T,0.968467265162598
FANCF HEK293T,FANCF HAP1dMLH1,0.7310855540311455
FANCF HEK293T,FANCF HAP1,0.41699019316923225
FANCF HEK293T,EMX1 HEK293T,0.29130202088014934
FANCF HEK293T,CLYBL HEK293T,0.3564223001779817
FANCF HAP1dMLH1,HEK3 HEK293T,0.7651109326212361
FANCF HAP1dMLH1,HEK3 HAP1dMLH1,0.7844075013764122
FANCF HAP1dMLH1,HEK3 HAP1,0.3359443294585714
FANCF HAP1dMLH1,FANCF HEK293T,0.7310855540311457
FANCF HAP1dMLH1,FANCF HAP1dMLH1,1.0
FANCF HAP1dMLH1,FANCF HAP1,0.3816364129797105
FANCF HAP1dMLH1,EMX1 HEK293T,0.39930155230539166
FANCF HAP1dMLH1,CLYBL HEK293T,0.4680755604922166
FANCF HAP1,HEK3 HEK293T,0.021217384004586805
FANCF HAP1,HEK3 HAP1dMLH1,0.01532114695326027
FANCF HAP1,HEK3 HAP1,0.4110646093502833
FANCF HAP1,FANCF HEK293T,0.41699019316923236
FANCF HAP1,FANCF HAP1dMLH1,0.38163641297971046
FANCF HAP1,FANCF HAP1,1.0
FANCF HAP1,EMX1 HEK293T,0.09243050052985159
FANCF HAP1,CLYBL HEK293T,0.0271200433059851
EMX1 HEK293T,HEK3 HEK293T,0.47730813717088694
EMX1 HEK293T,HEK3 HAP1dMLH1,0.45799242969960097
EMX1 HEK293T,HEK3 HAP1,0.3100725822774172
EMX1 HEK293T,FANCF HEK293T,0.2913020208801494
EMX1 HEK293T,FANCF HAP1dMLH1,0.39930155230539166
EMX1 HEK293T,FANCF HAP1,0.09243050052985159
EMX1 HEK293T,EMX1 HEK293T,0.9333332711221694
EMX1 HEK293T,CLYBL HEK293T,0.30084741734354004
CLYBL HEK293T,HEK3 HEK293T,0.5078779079360094
CLYBL HEK293T,HEK3 HAP1dMLH1,0.5075388115483735
CLYBL HEK293T,HEK3 HAP1,0.21934372234608693
CLYBL HEK293T,FANCF HEK293T,0.3564223001779817
CLYBL HEK293T,FANCF HAP1dMLH1,0.46807556049221655
CLYBL HEK293T,FANCF HAP1,0.027120043305985102
CLYBL HEK293T,EMX1 HEK293T,0.30084741734354004
CLYBL HEK293T,CLYBL HEK293T,0.9267405298154658
